================================================================================
     MEMORY ACCUMULATION AND PERFORMANCE DEGRADATION BENCHMARK     
================================================================================
Connecting to Cassandra...
Connected to the keyspace network_giustino


Starting incremental injection (Batch Size: 2000 users, Max Cap: 1000000).
The test will terminate if latency remains >= 2.0x the baseline for 3 consecutive batches.
--------------------------------------------------------------------------------
[BATCH #99] Inserted 2000 users | Total: 198000 | Payload Size: ~198000 KB | Latency: 718.03 ms | Delta vs Base: 0.15x (Streak: 0/3) | Status: OK
[BATCH #100] Inserted 2000 users | Total: 200000 | Payload Size: ~200000 KB | Latency: 741.30 ms | Delta vs Base: 0.16x (Streak: 0/3) | Status: OK
[BATCH #101] Inserted 2000 users | Total: 202000 | Payload Size: ~202000 KB | Latency: 1368.76 ms | Delta vs Base: 0.29x (Streak: 0/3) | Status: OK
[BATCH #102] Inserted 2000 users | Total: 204000 | Payload Size: ~204000 KB | Latency: 775.46 ms | Delta vs Base: 0.16x (Streak: 0/3) | Status: OK
[BATCH #103] Inserted 2000 users | Total: 206000 | Payload Size: ~206000 KB | Latency: 774.32 ms | Delta vs Base: 0.16x (Streak: 0/3) | Status: OK
[BATCH #104] Inserted 2000 users | Total: 208000 | Payload Size: ~208000 KB | Latency: 719.39 ms | Delta vs Base: 0.15x (Streak: 0/3) | Status: OK
[BATCH #105] Inserted 2000 users | Total: 210000 | Payload Size: ~210000 KB | Latency: 805.74 ms | Delta vs Base: 0.17x (Streak: 0/3) | Status: OK
[BATCH #106] Inserted 2000 users | Total: 212000 | Payload Size: ~212000 KB | Latency: 848.62 ms | Delta vs Base: 0.18x (Streak: 0/3) | Status: OK
[BATCH #107] Inserted 2000 users | Total: 214000 | Payload Size: ~214000 KB | Latency: 792.69 ms | Delta vs Base: 0.17x (Streak: 0/3) | Status: OK
[BATCH #108] Inserted 2000 users | Total: 216000 | Payload Size: ~216000 KB | Latency: 806.81 ms | Delta vs Base: 0.17x (Streak: 0/3) | Status: OK
[BATCH #109] Inserted 2000 users | Total: 218000 | Payload Size: ~218000 KB | Latency: 978.35 ms | Delta vs Base: 0.21x (Streak: 0/3) | Status: OK
[BATCH #110] Inserted 2000 users | Total: 220000 | Payload Size: ~220000 KB | Latency: 1068.38 ms | Delta vs Base: 0.22x (Streak: 0/3) | Status: OK
[BATCH #111] Inserted 2000 users | Total: 222000 | Payload Size: ~222000 KB | Latency: 1292.44 ms | Delta vs Base: 0.27x (Streak: 0/3) | Status: OK
[BATCH #112] Inserted 2000 users | Total: 224000 | Payload Size: ~224000 KB | Latency: 758.33 ms | Delta vs Base: 0.16x (Streak: 0/3) | Status: OK
[BATCH #113] Inserted 2000 users | Total: 226000 | Payload Size: ~226000 KB | Latency: 819.45 ms | Delta vs Base: 0.17x (Streak: 0/3) | Status: OK
[BATCH #114] Inserted 2000 users | Total: 228000 | Payload Size: ~228000 KB | Latency: 776.80 ms | Delta vs Base: 0.16x (Streak: 0/3) | Status: OK
[BATCH #115] Inserted 2000 users | Total: 230000 | Payload Size: ~230000 KB | Latency: 895.24 ms | Delta vs Base: 0.19x (Streak: 0/3) | Status: OK
[BATCH #116] Inserted 2000 users | Total: 232000 | Payload Size: ~232000 KB | Latency: 1796.77 ms | Delta vs Base: 0.38x (Streak: 0/3) | Status: OK
[BATCH #117] Inserted 2000 users | Total: 234000 | Payload Size: ~234000 KB | Latency: 794.18 ms | Delta vs Base: 0.17x (Streak: 0/3) | Status: OK
[BATCH #118] Inserted 2000 users | Total: 236000 | Payload Size: ~236000 KB | Latency: 703.67 ms | Delta vs Base: 0.15x (Streak: 0/3) | Status: OK
